"ensemble","geneName","statistic","pvalue","amplitude1","amplitude2","phi1","phi2","basal1","basal2","sigma_alpha","sigma_0","qvalue","r1","r2"
"ENSG00000133794","ARNTL",4.93545964506609,0.0847770997702837,8.87234895997522,7.82249744261271,-9.91015102334936,-9.04404533125707,12.450558825985,12.7300367802087,1.20990629209274,3.90538456850843,0.487787835361682,2.27182465755576,2.0030031115733
"ENSG00000159208","CIART",16.7382306520085,0.000231920637165505,7.1437200461155,4.43706433777936,4.90971801018664,5.69196609043098,6.46417799219027,5.52023993689805,0.271769036181476,2.7233174309352,0.015681769894496,2.62316833321274,1.62928650453195
"ENSG00000105856","HBP1",19.9130599168589,4.74169898216693e-05,18.2480668352008,12.676063257285,1.53109839103505,-1.24227553393272,65.8645877556512,62.4134240666287,2.96423748073146,9.85507408902038,0.00542924533458113,1.85164177056072,1.28624738310263
"ENSG00000183655","KLHL25",26.7716639204512,1.53676352489436e-06,3.75686205106643,1.96215465915969,-8.65511314155012,-11.6546546247971,7.44277196800655,7.37976899433755,0.22587294560648,1.8313921776679,0.000439898559001012,2.05136949741176,1.07140058971875
"ENSG00000049246","PER3",4.85452967973572,0.0882779570236681,12.2747036787318,11.3313500682649,3.6896132043814,4.58865886205315,23.232606033252,23.4454672515407,1.28415971095787,5.50745966196587,0.490671168893689,2.22874145833515,2.05745493635086
"ENSG00000203867","RBM20",19.218791146862,6.70953662712855e-05,17.1292028621102,10.5969024118487,-10.8268198969019,10.4998775884386,40.55961396738,41.6854372027063,8.80996860050744,9.71976648917614,0.00689661192904334,1.76230600613555,1.09024248922537
"ENSG00000109458","GAB1",16.388537370446,0.000276232215572437,14.0201085666303,7.44541983124121,4.06196886109174,3.08227050489349,29.5726517490201,26.7607524627789,1.27747447519758,6.20651749097487,0.015681769894496,2.25893322414985,1.19961312315125
"ENSG00000136478","TEX2",33.048465613629,6.66218785350331e-08,19.4585020595146,6.76440780626058,-9.65761637024668,-11.9458295456695,90.0087884822693,92.9467830544138,6.87361967362688,9.27344064632265,7.62820509226129e-05,2.0983044806817,0.72943884198396
"ENSG00000072401","UBE2D1",8.63076207025347,0.0133614573314569,43.0274920555532,28.1099206926055,3.16419753601739,2.72330099404884,136.861934532259,125.402547415426,12.0206772843705,19.9119415304907,0.205824333080696,2.16088883093927,1.41171169318479
"ENSG00000088854","C20orf194",23.8813352676642,6.51979493744712e-06,20.1251855620194,7.60876312706577,2.12253122030772,1.35813535719932,45.2695827653344,37.4881365754906,6.23470708764668,10.1659575848749,0.00124419420056283,1.97966452191008,0.748455132095599
"ENSG00000100100","PIK3IP1",27.735811189207,9.48953921221331e-07,11.0857908172005,3.81008829441072,5.40537907662367,3.77712152062992,13.9876558175661,11.0686933722341,1.19370613018592,4.96710260874885,0.000362184079932808,2.23184252277665,0.767064543361714
"ENSG00000250899",NA,4.06718065751886,0.130864828925312,7.09850307095803,5.73116951667618,-10.5445133250322,-11.4872956349709,21.481973969375,20.4321215637336,3.25971201187146,3.90173054731178,0.550827730137781,1.81932170478783,1.4688788595678
"ENSG00000196878","LAMB3",15.7614945330851,0.000377950521451761,9.68842145758485,4.92222486847889,-10.4298735132563,-11.9270015381916,14.489660095822,12.305468931739,1.89266384237137,5.41560410194103,0.0180313894609278,1.78898259090106,0.908896731708046
"ENSG00000160685","ZBTB7B",15.2359541848707,0.000491535156257622,7.67023116986051,3.46589152765166,-8.33125968771383,-9.16386721642647,19.9480940274449,19.6188745164678,1.29442555769029,4.11454365106217,0.0225123101565991,1.86417542754236,0.842351381241742
"ENSG00000126368","NR1D1",1.35749996849631,0.507250667555671,7.41527574487775,6.16992879820332,8.98193716705927,9.24390342852245,10.1499038370724,9.1726800890652,1.0311380148383,4.12011803465855,0.858024512859809,1.79977264789509,1.49751263102215
"ENSG00000079156","OSBPL6",3.91922474559044,0.140913032060714,17.99123493786,13.1220881943991,-8.8453098317508,-9.50650456191662,63.7462061317014,65.7392692511657,8.85679851245823,10.3568576250465,0.562179169719574,1.73713259264576,1.26699513206258
"ENSG00000170485","NPAS2",1.62431285770873,0.443899795045994,1.68268925138928,1.46282557198429,-11.2731903823142,-10.5587939254659,3.51722726349374,3.27161694873118,0.423698848433501,1.11817694526779,0.835679518870461,1.50485060393218,1.30822369230118
"ENSG00000163884","KLF15",2.78206420503739,0.248818365998727,8.75284691184154,9.14074648738838,2.57293665046137,3.82546333796927,10.7966876618043,12.675590457194,1.28564334871323,6.59836486385544,0.724928827146418,1.32651756797929,1.38530479535311
"ENSG00000174738","NR1D2",6.42763375989352,0.0402028705195793,60.9620949410318,48.9052570818103,5.5983881691568,6.40251573705689,129.501376575719,127.659483355716,5.03192832243617,26.1140847457706,0.362432969131985,2.3344526731271,1.87275401600016
"ENSG00000134852","CLOCK",2.62792957621173,0.268752394958666,10.791629596625,10.4055348781729,11.9554261374377,11.091968043846,52.5254674935486,54.0020598557369,3.52567464578619,5.49944088119036,0.747651498221931,1.96231395695795,1.8921077802223
"ENSG00000188229","TUBB4B",16.5582346223141,0.000253761093291976,25.7328556317878,10.926317716912,-9.92074963414294,-11.699096245289,65.1758070989097,64.2965632521917,10.5402666729349,15.7990928786387,0.015681769894496,1.62875526015675,0.691578801444042
"ENSG00000198853","RUSC2",7.65467618613559,0.0217674815889193,11.9452356098915,6.39182986291839,-7.89651506032614,-8.70452184647763,43.912828227604,43.8911243855857,1.8688626918669,7.70957106369451,0.270910504557746,1.54940339886655,0.829077235310593
