"ensemble","geneName","statistic","pvalue","amplitude","phi","basal","sigma_alpha","sigma_0","qvalue","r"
"ENSG00000133794","ARNTL",83.4186461267332,7.68902281691254e-19,8.86118497105219,-9.91315770098137,12.4480649739147,0.376680946288461,3.98217802790658,4.40196556268243e-16,2.22521065330434
"ENSG00000159208","CIART",82.0832478909549,1.49916416342161e-18,7.13952836272442,4.91049897012097,6.46644085884346,0,2.89745384405104,5.72180989039249e-16,2.46406974778324
"ENSG00000105856","HBP1",81.3673409726968,2.14440299052486e-18,18.2394224436721,1.52831298262565,65.8580095237225,4.58709729106337,7.94507869992825,6.1383535603774e-16,2.29568807717875
"ENSG00000183655","KLHL25",71.7792261504917,2.59023450130922e-16,3.74113956253751,-8.66003881876059,7.44199343441856,0.591264375607779,1.77269334946075,4.94303083999842e-14,2.11042680544583
"ENSG00000049246","PER3",88.6660822164667,5.57705439966248e-20,12.2822216717347,3.69012635420351,23.2323810329458,0,4.91689125623156,6.38572728761354e-17,2.49796487896057
"ENSG00000203867","RBM20",56.986501860096,4.22219560746249e-13,17.1548991031508,-10.819815203423,40.5598152360622,11.718524466393,10.1887679782417,2.84377292384974e-11,1.68370691528018
"ENSG00000109458","GAB1",66.7160050813166,3.25689358889857e-15,14.0049617943579,4.06274992098791,29.5827971727362,0,7.04872482442215,4.14349239920984e-13,1.98687878207899
"ENSG00000136478","TEX2",70.0285429014107,6.21577264857488e-16,19.6281768088778,-9.64693231641556,90.1083252661977,5.65260817396778,9.71889142883094,1.0167228118026e-13,2.01959008932347
"ENSG00000072401","UBE2D1",63.7379046655776,1.44374288787382e-14,42.901919171976,3.16651875336086,137.007523286212,13.1770840354848,21.6558385161887,1.65308560661553e-12,1.98107864259816
"ENSG00000088854","C20orf194",59.9746112179211,9.47716947366507e-14,20.017497762818,2.12144379152743,45.3948564102458,6.52257705761809,11.2395798868849,9.86487186122409e-12,1.78098273816941
"ENSG00000100100","PIK3IP1",59.0278462974371,1.5214792618668e-13,11.0661857141725,5.41372814528331,14.0281973343873,0.875937539805606,5.72001029505688,1.45174479569791e-11,1.93464437008718
"ENSG00000250899",NA,74.3864427452054,7.03378669186874e-17,7.10467372384505,-10.5288603706095,21.4494328605306,3.41864473682563,3.25164044632236,1.61073715243794e-14,2.18495059374738
"ENSG00000196878","LAMB3",54.2609470762807,1.64962432106951e-12,9.68785711637696,-10.4342470064031,14.5052643063744,2.73300551012953,6.02263677570976,9.44409923812297e-11,1.60857403113693
"ENSG00000160685","ZBTB7B",58.138323026003,2.37368760152388e-13,7.6446515394979,-8.33557743756524,19.9531964788652,1.57453209797431,4.2324375462413,1.81191486916323e-11,1.80620539723897
"ENSG00000126368","NR1D1",48.7310656873913,2.61928971333796e-11,7.41531019108278,8.98395243966707,10.1532764115488,0,4.68793457942497,8.10563978857287e-10,1.58178619292771
"ENSG00000079156","OSBPL6",58.6997956320262,1.79267405915687e-13,17.9228241639989,-8.85321209694986,63.7667778814826,7.6770001885682,9.66994848221237,1.57893215210355e-11,1.85345601343869
"ENSG00000170485","NPAS2",52.6396897453291,3.710535638915e-12,1.67460723373587,-11.2833456481503,3.50790754100617,0.154418139533563,1.11266933619471,1.9311651393444e-10,1.50503584421852
"ENSG00000163884","KLF15",50.7395039298978,9.59525927498720e-12,8.79371517657098,2.58418940972888,10.8010491145887,1.38461328947556,5.69112177069151,3.66219062328678e-10,1.5451637710262
"ENSG00000174738","NR1D2",67.7092197632396,1.98211907695015e-15,60.9322308987377,5.60057543807284,129.555184244558,0,28.4299636603248,2.8369079288849e-13,2.14323984464923
"ENSG00000134852","CLOCK",58.519752030084,1.96154061761911e-13,10.6144100839793,11.8528752847571,52.3829109873515,1.68828831333482,6.31142831774742,1.6042600051242e-11,1.68177622395426
"ENSG00000188229","TUBB4B",52.237333512429,4.53740090264057e-12,25.001159819048,-9.99126779414776,65.0094829958681,5.24555769625781,15.7937163704745,2.16471834730144e-10,1.5829814359454
"ENSG00000198853","RUSC2",57.703342014163,2.95038361783427e-13,11.999990905161,-7.89590012694045,43.9227365159304,2.53119464472257,6.42946663848923,2.11136827651265e-11,1.86640534586873
"ENSG00000115616","SLC9A2",52.2832294848043,4.43446232328227e-12,5.7001374869044,10.1820414279394,20.2757933739889,4.23755187101831,3.44885796133087,2.16471834730144e-10,1.65276087064623
"ENSG00000204634","TBC1D8",50.5223632138112,1.06956755869323e-11,14.2243565658978,1.02362713011341,47.3727866194195,8.39810359557168,9.37499418635753,3.9504995313024e-10,1.51726564125203
"ENSG00000048052","HDAC9",55.2257034403317,1.01833546349261e-12,21.2269657364059,5.96287636097469,42.105096120706,5.07204623429919,10.7932210021324,6.13681108262652e-11,1.96669425486721
"ENSG00000139292","LGR5",48.6299471952216,2.75512393017766e-11,6.9617698487366,2.05801131885218,10.7666803520603,0.92355983121564,4.76938519685414,8.3016234211932e-10,1.45967867165113
"ENSG00000179094","PER1",51.0424832425277,8.24642270392713e-12,23.6328937330805,3.7981311298723,30.5240072752736,0,14.7970031615883,3.37219785571306e-10,1.59714054765017
"ENSG00000184675","AMER1",46.2120277458802,9.22965943294051e-11,2.53746845650037,-6.16939718962578,8.06539986003881,0.687302869369349,1.51991667494811,2.29738261972106e-09,1.66947866177401
"ENSG00000136935","GOLGA1",51.2747639125029,7.34220465818342e-12,2.0071125911534,-10.8717062206274,14.211402691802,0.727608363640883,1.28529258786207,3.11363864208149e-10,1.56159975565718
