"ensemble","geneName","statistic","pvalue","amplitude","phi","basal","sigma_alpha","sigma_0","qvalue","r"
"ENSG00000134852","CLOCK",75.1505648654474,4.80023151083666e-17,10.3883459183778,11.1145608614572,53.9783529295674,4.38866103660515,4.64447879807359,5.49626507990798e-14,2.23670865344172
"ENSG00000133794","ARNTL",65.5333387108565,5.8832365225339e-15,7.8379789592741,-9.03936970919865,12.7514509718518,0.838446428882327,4.09590613418365,3.36815290915066e-12,1.91361293508653
"ENSG00000049246","PER3",60.5914825681074,6.96188323761286e-14,11.2259079638164,4.59805818954197,23.5125728644064,2.91848723948861,5.63875398710577,2.49192073505678e-11,1.99084904031758
"ENSG00000174738","NR1D2",60.1444955702915,8.70539994779662e-14,49.0856910650495,6.40206009443734,127.759445452909,2.56756863259566,24.4627641845951,2.49192073505678e-11,2.00654720352331
"ENSG00000126368","NR1D1",52.1587647444078,4.71919740452517e-12,6.16467814655572,9.26222130246197,9.16513903739049,1.19652604189268,3.55706321168424,1.08069620563626e-09,1.73308085341469
"ENSG00000158458","NRG2",51.1316872743177,7.8866974948202e-12,0.878098215601394,-8.78771819864655,1.52657271313961,0.134711815844159,0.545808045987832,1.28351901727156e-09,1.60880408791367
"ENSG00000159208","CIART",50.9412508816785,8.67456929049186e-12,4.42986366357987,5.69512998287893,5.52284456879041,0.58397024317745,2.49541495661295,1.28351901727156e-09,1.77520121526905
"ENSG00000115616","SLC9A2",50.8747573466134,8.96781846128601e-12,3.72794866353534,9.22087784993188,19.7643863143233,4.24694774233813,2.12638571850536,1.28351901727156e-09,1.75318552560432
"ENSG00000072401","UBE2D1",49.2299749369854,2.04101769680009e-11,28.4223121389668,2.76710201830977,125.505552375123,10.0597229735681,18.2430203544603,2.59662806981789e-09,1.55798281132859
"ENSG00000109458","GAB1",45.2736431741863,1.47554784747302e-10,7.38756748378304,3.11334082517192,26.8273350340654,2.4658693674872,4.97195158407353,1.6895022853566e-08,1.48584863687075
"ENSG00000105516","DBP",44.5549150959832,2.1136015369321e-10,6.41425328710188,6.74451081381449,10.7421051892338,0.636128499950459,3.95665130321441,2.20006705435205e-08,1.62113180959133
"ENSG00000180730","SHISA2",43.0240152646347,4.54416184291431e-10,13.708568245738,7.85094086571034,39.3902152848653,10.5363236290719,8.59456558365219,3.79522873571046e-08,1.59502747547976
"ENSG00000127824","TUBA4A",42.9863146682853,4.63063309252903e-10,32.1544050039713,11.1194233435978,194.846590525424,35.5828964924417,22.9816310363363,3.79522873571046e-08,1.39913502889033
"ENSG00000164951","PDP1",42.8593495076592,4.93412906527824e-10,52.6126871768438,6.78083008536752,121.585766156258,29.7323653409136,32.1998548464208,3.79522873571046e-08,1.63394174997941
"ENSG00000157600","TMEM164",42.8440915537855,4.97191537429318e-10,6.87186767830601,8.13079845262181,38.9203980787362,2.8399049192696,4.19930659103346,3.79522873571046e-08,1.63642914117753
"ENSG00000179094","PER1",42.5410914926744,5.78521302473186e-10,21.2802182826851,4.80204425426309,30.2022079423498,0,14.3685080894315,3.934061320406e-08,1.48103186150115
"ENSG00000170185","USP38",42.5219100174946,5.84096440584297e-10,16.4871948711391,1.38744885143064,137.385532084671,13.6676812164632,12.0480258377026,3.934061320406e-08,1.36845613490841
"ENSG00000151090","THRB",42.2292579435743,6.76134583429718e-10,8.32930129089532,7.54822543073998,44.8933515816654,2.95850568862529,5.20860898170071,4.21547524656303e-08,1.59914121412424
"ENSG00000166016","ABTB2",42.1612786888318,6.99511176285569e-10,3.94327667895283,10.0052661074913,14.3726778901375,1.2733396733426,2.72240488488282,4.21547524656303e-08,1.44845342470893
"ENSG00000100422","CERK",41.1079190462088,1.18448290687072e-09,3.31559071293508,-7.32881677131712,19.9437320892123,1.11222236486478,2.23328710809836,6.78116464183485e-08,1.48462358507872
"ENSG00000250899",NA,40.931381324279,1.29378906766798e-09,5.73197506444812,-11.5116819106516,20.4934394725385,3.25400542334278,4.32204307862477,6.92061473797152e-08,1.32621886459123
"ENSG00000174032","SLC25A30",40.8765872118628,1.32972510249235e-09,10.5317658673296,5.13743678304918,54.347305029562,10.9931537823918,6.90209817109751,6.92061473797152e-08,1.52587888584826
"ENSG00000198208","RPS6KL1",40.4185957404456,1.67191214215458e-09,1.98997074061427,-11.0705633388964,10.8016145897166,0,1.58147253212255,7.96186914510528e-08,1.25830243661802
"ENSG00000203867","RBM20",40.4112642511661,1.67805219217983e-09,10.5301596159315,10.4945629944736,41.747588457933,6.58773362267004,7.64849291141651,7.96186914510528e-08,1.37676268225517
"ENSG00000119862","LGALSL",40.3406020911144,1.73839937666054e-09,19.0176976714205,3.94071593820486,64.8181241808176,7.77056965525658,13.4366589977662,7.96186914510528e-08,1.41535910635093
"ENSG00000171606","ZNF274",40.059453740371,2.00078372591841e-09,3.77547783068211,-2.88136657239801,10.867628424368,0.996959633397707,2.56039581354922,8.81114371606376e-08,1.4745680377631
"ENSG00000196781","TLE1",39.8232279450447,2.25162429448148e-09,11.5003703614417,5.76160969431335,48.5245357457376,9.775807926168,7.57568749885057,9.54855487844925e-08,1.51806293002273
"ENSG00000088854","C20orf194",39.1876632335616,3.09390553547973e-09,7.52692290634753,1.46479220990857,37.6523845952702,8.98916528691468,5.85854083596401,1.24920904156856e-07,1.28477774877692
"ENSG00000123095","BHLHE41",39.142898305345,3.16393556379809e-09,12.8351505725487,6.83676505191243,36.2286203847655,6.72520613395857,8.44751574364719,1.24920904156856e-07,1.51939942606217
